query-id	document-id	relevance
q_000070	06Eq9tgprBw	3
q_000071	06Eq9tgprBw	3
q_000072	079MEwdDNjg	3
q_000073	079MEwdDNjg	3
q_000074	0AbJgWxIYVI	3
q_000075	0AbJgWxIYVI	3
q_000076	0EewuppFjEw	3
q_000077	0EewuppFjEw	3
q_000078	0F8F-ON083s	3
q_000079	0F8F-ON083s	3
q_000080	0HhNhRExwSQ	3
q_000081	0HhNhRExwSQ	3
q_000082	0PS48XWOsKA	3
q_000083	0PS48XWOsKA	3
q_000084	0RIc6mwDRaQ	3
q_000085	0RIc6mwDRaQ	3
q_000086	0VVNybUx7DE	3
q_000087	0VVNybUx7DE	3
q_000088	0YHCiC7IIg8	3
q_000089	0YHCiC7IIg8	3
q_000090	0ZHZ1ZqmT7s	3
q_000091	0ZHZ1ZqmT7s	3
q_000092	0bzSBV3jHIY	3
q_000093	0bzSBV3jHIY	3
q_000094	0dkIbKXXFzI	3
q_000095	0dkIbKXXFzI	3
q_000096	0drl-yrfBAA	3
q_000097	0drl-yrfBAA	3
q_000098	0e-qdFlRmPU	3
q_000099	0e-qdFlRmPU	3
q_000100	0gw1Qq3WRbU	3
q_000101	0gw1Qq3WRbU	3
q_000102	0gwhdJGq2eg	3
q_000103	0gwhdJGq2eg	3
q_000104	0h4UT-2XTAw	3
q_000105	0h4UT-2XTAw	3
q_000106	0hdwFR5qWz4	3
q_000107	0hdwFR5qWz4	3
q_000108	0nPeqy-DA2E	3
q_000109	0nPeqy-DA2E	3
q_000110	0pcrpO0Gd8M	3
q_000111	0pcrpO0Gd8M	3
q_000112	0pegrKSh4iw	3
q_000113	0pegrKSh4iw	3
q_000114	0qQvcJJekN8	3
q_000115	0qQvcJJekN8	3
q_000116	0r-_a6m5k-0	3
q_000117	0uOMJSUza68	3
q_000118	0uOMJSUza68	3
q_000119	0w7cO4tscBc	3
q_000120	0x4TP4MPelY	3
q_000121	0x4TP4MPelY	3
q_000122	0y4mO86t4Z0	3
q_000123	0y_5NIIvUzI	3
q_000124	0y_5NIIvUzI	3
q_000125	1-Ud-q4y1oc	3
q_000126	12v5k4Z8lAE	3
q_000127	12v5k4Z8lAE	3
q_000128	1926p23ooUM	3
q_000129	1926p23ooUM	3
q_000130	1AiQt87brik	3
q_000131	1AiQt87brik	3
q_000132	1B3XsffrM4M	3
q_000133	1B3XsffrM4M	3
q_000134	1H2bRd91sZw	3
q_000135	1H2bRd91sZw	3
q_000136	1IhbkbuDPpc	3
q_000137	1IhbkbuDPpc	3
q_000138	1JKgr3KfoHo	3
q_000139	1JKgr3KfoHo	3
q_000140	1L_4N307nBk	3
q_000141	1MBVaveQDd8	3
q_000142	1MBVaveQDd8	3
q_000143	1NAlbF88oUI	3
q_000144	1NAlbF88oUI	3
q_000145	1PQiq8zajCE	3
q_000146	1RKExOpIGas	3
q_000147	1RKExOpIGas	3
q_000148	1RQ27XZKU1E	3
q_000149	1U8y7e22SQg	3
q_000150	1U8y7e22SQg	3
q_000151	1VSqWp5DZiU	3
q_000152	1VSqWp5DZiU	3
q_000153	1VwNfMlb4JU	3
q_000154	1VwNfMlb4JU	3
q_000155	1X4hgrBjw-U	3
q_000156	1X4hgrBjw-U	3
q_000157	1a8PCm9e1YU	3
q_000158	1a8PCm9e1YU	3
q_000159	1dvrNvxw43Q	3
q_000160	1dvrNvxw43Q	3
q_000161	1ebIpLiTCvw	3
q_000162	1ebIpLiTCvw	3
q_000163	1fbU_MkV7NE	3
q_000164	1fbU_MkV7NE	3
q_000165	1ftLLKrC81s	3
q_000166	1ftLLKrC81s	3
q_000167	1hiyhNqakMI	3
q_000168	1hiyhNqakMI	3
q_000169	1ioKX0iuico	3
q_000170	1jjsTfZS5DY	3
q_000171	1jjsTfZS5DY	3
q_000172	1lagsBNqNe4	3
q_000173	1lagsBNqNe4	3
q_000174	1oM26-0yFcM	3
q_000175	1oM26-0yFcM	3
q_000176	1qKXZ9fThTg	3
q_000177	1qKXZ9fThTg	3
q_000178	1rdecGieY-M	3
q_000179	1rdecGieY-M	3
q_000180	1rf7t4sYtIA	3
q_000181	1rf7t4sYtIA	3
q_000182	1uiEkwykOxo	3
q_000183	1wjnveHAhGE	3
q_000184	1wjnveHAhGE	3
q_000185	21biKVGaY1Y	3
q_000186	21biKVGaY1Y	3
q_000187	231pbDe3uQc	3
q_000188	231pbDe3uQc	3
q_000189	29UfCoftDkA	3
q_000190	29UfCoftDkA	3
q_000191	2AE847UXu3Q	3
q_000192	2AE847UXu3Q	3
q_000193	2D22fVcAcyo	3
q_000194	2D22fVcAcyo	3
q_000195	2FIQwmB362w	3
q_000196	2FIQwmB362w	3
q_000197	2GCNxOKMtBo	3
q_000198	2GCNxOKMtBo	3
q_000199	2ISOAmuzs24	3
q_000200	2ISOAmuzs24	3
q_000201	2PFU_Ee0x14	3
q_000202	2PFU_Ee0x14	3
q_000203	2QydTDAYJsA	3
q_000204	2QydTDAYJsA	3
q_000205	2SKZB0bfqF8	3
q_000206	2SKZB0bfqF8	3
q_000207	2SYTRqm4Ym4	3
q_000208	2SYTRqm4Ym4	3
q_000209	2Tuht3F2uc8	3
q_000210	2Tuht3F2uc8	3
q_000211	2UfljrwzsLs	3
q_000212	2UfljrwzsLs	3
q_000213	2VoWT4gnQDg	3
q_000214	2VoWT4gnQDg	3
q_000215	2Voht8wf3dQ	3
q_000216	2Voht8wf3dQ	3
q_000217	2WyRPSKFUi8	3
q_000218	2WyRPSKFUi8	3
q_000219	2XOTxAZZhsQ	3
q_000220	2XOTxAZZhsQ	3
q_000221	2_hcULoN4Ls	3
q_000222	2_hcULoN4Ls	3
q_000223	2aw1pVJsnKs	3
q_000224	2aw1pVJsnKs	3
q_000225	2belnHaa36g	3
q_000226	2belnHaa36g	3
q_000227	2imjxY43yYM	3
q_000228	2imjxY43yYM	3
q_000229	2oNsMva04MM	3
q_000230	2oc0OBWkYfg	3
q_000231	2oc0OBWkYfg	3
q_000232	2oizmWFx4PA	3
q_000233	2rHsoF35eQw	3
q_000234	2rHsoF35eQw	3
q_000235	2tf414bkudE	3
q_000236	2tf414bkudE	3
q_000237	2tlLq9qvG-c	3
q_000238	2tlLq9qvG-c	3
q_000239	2uBPhFis_4Y	3
q_000240	2uBPhFis_4Y	3
q_000241	2vAaAy_WC7Y	3
q_000242	2vAaAy_WC7Y	3
q_000243	2zVpWu1i5qM	3
q_000244	2zVpWu1i5qM	3
q_000245	2zohqWPmeQU	3
q_000246	2zohqWPmeQU	3
q_000247	3-KLYPzd1zU	3
q_000248	32z1yiC0Co0	3
q_000249	32z1yiC0Co0	3
q_000250	33eH3ozXLmU	3
q_000251	33eH3ozXLmU	3
q_000252	34KalqGygZ0	3
q_000253	34KalqGygZ0	3
q_000254	35SpLMcN-m8	3
q_000255	35SpLMcN-m8	3
q_000256	35WvCw9Qcqk	3
q_000257	38ZxXyECPPU	3
q_000258	38ZxXyECPPU	3
q_000259	39dTxOhrW68	3
q_000260	39dTxOhrW68	3
q_000261	3FAvxuTw4NI	3
q_000262	3FAvxuTw4NI	3
q_000263	3G1T_V102GA	3
q_000264	3G1T_V102GA	3
q_000265	3I4EzlMo124	3
q_000266	3I4EzlMo124	3
q_000267	3ImTO0bzXPA	3
q_000268	3ImTO0bzXPA	3
q_000269	3JHIcli-Wlg	3
q_000270	3JHIcli-Wlg	3
q_000271	3JcvtncHhLw	3
q_000272	3JcvtncHhLw	3
q_000273	3K_8CdJS9lE	3
q_000274	3K_8CdJS9lE	3
q_000275	3KmMvfdidvQ	3
q_000276	3KmMvfdidvQ	3
q_000277	3L0MnbQkLWM	3
q_000278	3L0MnbQkLWM	3
q_000279	3MJQEQ98168	3
q_000280	3MJQEQ98168	3
q_000281	3OXh6OV2Zrc	3
q_000282	3OXh6OV2Zrc	3
q_000283	3SLaaTD8t3Q	3
q_000284	3SLaaTD8t3Q	3
q_000285	3SjuIcAfeWk	3
q_000286	3SjuIcAfeWk	3
q_000287	3TLhUYQ8geM	3
q_000288	3TLhUYQ8geM	3
q_000289	3TsNntqwbSQ	3
q_000290	3TsNntqwbSQ	3
q_000291	3TxZTZEEg44	3
q_000292	3TxZTZEEg44	3
q_000293	3UrypnvwAOY	3
q_000294	3UrypnvwAOY	3
q_000295	3abD7z6vRPM	3
q_000296	3abD7z6vRPM	3
q_000297	3bi2XM3scQA	3
q_000298	3bi2XM3scQA	3
q_000299	3fyR5F18WKg	3
q_000300	3fyR5F18WKg	3
q_000301	3hZjxdMcG6o	3
q_000302	3jZq0UaDIks	3
q_000303	3jZq0UaDIks	3
q_000304	3lkZPJES45Q	3
q_000305	3lkZPJES45Q	3
q_000306	3nX5ZwzHftM	3
q_000307	3nX5ZwzHftM	3
q_000308	3ohvA6Raf4w	3
q_000309	3ohvA6Raf4w	3
q_000310	3q_MOQNfSmA	3
q_000311	3q_MOQNfSmA	3
q_000312	45AIj4-_RBw	3
q_000313	45AIj4-_RBw	3
q_000314	4CsTbXdERSU	3
q_000315	4CsTbXdERSU	3
q_000316	4EloxAiCydc	3
q_000317	4EloxAiCydc	3
q_000318	4Ex-sB0vtwk	3
q_000319	4Ex-sB0vtwk	3
q_000320	4IC1_C_dtvk	3
q_000321	4IC1_C_dtvk	3
q_000322	4ImpZRtbzYw	3
q_000323	4ImpZRtbzYw	3
q_000324	4KE6dUAGZ94	3
q_000325	4KE6dUAGZ94	3
q_000326	4Lu8ECLHvK4	3
q_000327	4Lu8ECLHvK4	3
q_000328	4MBGT228QiQ	3
q_000329	4Oug7S32B-4	3
q_000330	4Oug7S32B-4	3
q_000331	4Q5YJKHa5W0	3
q_000332	4QvpJ71d8Nk	3
q_000333	4QvpJ71d8Nk	3
q_000334	4R37E4Kevs4	3
q_000335	4R37E4Kevs4	3
q_000336	4T8uFygBeNo	3
q_000337	4T8uFygBeNo	3
q_000338	4W4mrswC2tA	3
q_000339	4W4mrswC2tA	3
q_000340	4YJ_L7jqgoA	3
q_000341	4YJ_L7jqgoA	3
q_000342	4_wfCFTnExI	3
q_000343	4_wfCFTnExI	3
